                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.53312,                0.30031,                 1.1303,                0.99354,                0.99582,                0.99447,                0.92326,                 0.4598,                0.20443,                 1.0961,              0.0034413,              0.0034413,              0.0034413
                     55,                0.52734,                 0.2966,                 1.1209,                 0.9948,                 0.9961,                0.99454,                0.92078,                0.45907,                0.20407,                  1.096,              0.0033175,              0.0033175,              0.0033175
                     56,                0.52713,                0.29608,                 1.1237,                0.99466,                0.99588,                0.99463,                0.92337,                0.45705,                0.20236,                  1.094,              0.0031938,              0.0031938,              0.0031938
                     57,                0.51662,                0.29216,                 1.1159,                0.99512,                0.99674,                0.99461,                0.92503,                0.45444,                0.20026,                  1.092,                0.00307,                0.00307,                0.00307
                     58,                 0.5117,                0.28457,                 1.1101,                0.99464,                0.99668,                0.99467,                0.92499,                0.45094,                0.20071,                 1.0882,              0.0029462,              0.0029462,              0.0029462
                     59,                0.50914,                0.28747,                 1.1081,                0.99408,                0.99709,                0.99478,                 0.9259,                0.44884,                0.19875,                 1.0863,              0.0028225,              0.0028225,              0.0028225
                     60,                0.50703,                0.28179,                 1.1037,                0.99384,                 0.9967,                0.99477,                0.92818,                 0.4452,                0.19731,                 1.0833,              0.0026987,              0.0026987,              0.0026987
                     61,                0.50102,                0.28036,                 1.1035,                0.99297,                0.99611,                0.99478,                0.92772,                0.44266,                0.19698,                 1.0816,               0.002575,               0.002575,               0.002575
                     62,                0.49781,                0.27776,                 1.0998,                0.99427,                0.99611,                0.99475,                0.92842,                0.44219,                0.19632,                 1.0812,              0.0024513,              0.0024513,              0.0024513
                     63,                0.48932,                0.27387,                 1.0891,                0.99327,                0.99618,                0.99476,                0.92895,                0.44189,                0.19584,                 1.0814,              0.0023275,              0.0023275,              0.0023275
                     64,                0.48968,                0.27279,                 1.0919,                0.99387,                0.99611,                0.99475,                 0.9291,                0.44138,                0.19552,                 1.0813,              0.0022038,              0.0022038,              0.0022038
                     65,                0.47836,                0.26844,                 1.0834,                0.99405,                0.99611,                0.99474,                0.92801,                0.44089,                0.19607,                 1.0805,                0.00208,                0.00208,                0.00208
                     66,                 0.4757,                0.26626,                 1.0807,                0.99403,                0.99611,                 0.9947,                0.92901,                0.43988,                0.19565,                 1.0788,              0.0019563,              0.0019563,              0.0019563
