                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.65891,                0.39331,                 1.2123,                0.99215,                0.99611,                0.99373,                 0.9043,                0.52444,                0.24354,                 1.1195,               0.003565,               0.003565,               0.003565
                     54,                0.65425,                0.38594,                 1.2117,                0.99122,                0.99601,                0.99349,                0.90507,                0.52487,                0.24385,                 1.1176,              0.0034413,              0.0034413,              0.0034413
                     55,                0.64538,                0.38538,                 1.2016,                0.99133,                0.99528,                0.99407,                0.90447,                0.52279,                0.24155,                 1.1166,              0.0033175,              0.0033175,              0.0033175
                     56,                0.64837,                0.38293,                 1.2052,                0.99192,                0.99557,                0.99408,                0.90423,                0.51813,                0.23931,                 1.1123,              0.0031938,              0.0031938,              0.0031938
                     57,                0.64072,                0.37819,                 1.1996,                0.99208,                0.99709,                0.99422,                0.90864,                0.51589,                0.23822,                 1.1089,                0.00307,                0.00307,                0.00307
                     58,                0.63282,                0.36977,                 1.1912,                0.99269,                0.99709,                0.99426,                 0.9081,                 0.5142,                0.23658,                 1.1073,              0.0029462,              0.0029462,              0.0029462
                     59,                0.62764,                0.36817,                 1.1876,                0.99177,                0.99743,                0.99437,                0.90785,                0.51342,                0.23651,                 1.1043,              0.0028225,              0.0028225,              0.0028225
                     60,                0.63041,                 0.3673,                 1.1877,                0.99207,                0.99746,                0.99447,                0.91007,                0.51257,                0.23705,                 1.1041,              0.0026987,              0.0026987,              0.0026987
                     61,                0.62405,                0.36733,                 1.1856,                0.99115,                0.99469,                0.99441,                0.90936,                0.51182,                0.23637,                 1.1037,               0.002575,               0.002575,               0.002575
                     62,                0.62275,                0.36398,                 1.1825,                0.99137,                0.99363,                0.99428,                 0.9089,                 0.5103,                0.23636,                  1.102,              0.0024513,              0.0024513,              0.0024513
                     63,                0.61223,                0.35996,                  1.169,                0.99119,                0.99388,                0.99419,                0.90931,                0.50974,                0.23679,                 1.1012,              0.0023275,              0.0023275,              0.0023275
                     64,                0.61568,                0.35923,                  1.176,                0.99097,                0.99438,                0.99374,                0.90978,                0.51006,                0.23688,                 1.1015,              0.0022038,              0.0022038,              0.0022038
                     65,                0.60281,                0.35098,                 1.1681,                0.99119,                0.99381,                0.99372,                0.91057,                0.50857,                0.23561,                 1.1002,                0.00208,                0.00208,                0.00208
                     66,                0.60046,                0.34945,                 1.1647,                0.99129,                0.99399,                0.99424,                0.91189,                0.50637,                0.23403,                 1.0988,              0.0019563,              0.0019563,              0.0019563
                     67,                0.60107,                0.34821,                 1.1656,                0.99057,                0.99709,                0.99437,                0.91155,                 0.5057,                0.23262,                 1.0981,              0.0018325,              0.0018325,              0.0018325
                     68,                0.59535,                0.34652,                  1.162,                0.99111,                0.99709,                0.99443,                0.91217,                 0.5057,                0.23218,                 1.0978,              0.0017087,              0.0017087,              0.0017087
                     69,                0.59042,                0.34329,                 1.1589,                0.99167,                0.99674,                 0.9939,                0.91165,                0.50389,                0.23152,                  1.097,               0.001585,               0.001585,               0.001585
                     70,                0.58834,                0.34353,                  1.161,                0.99191,                 0.9966,                0.99391,                0.91324,                0.50267,                0.23078,                 1.0968,              0.0014612,              0.0014612,              0.0014612
                     71,                0.57877,                0.33633,                 1.1486,                0.99187,                0.99667,                0.99389,                0.91238,                0.50165,                0.23043,                 1.0965,              0.0013375,              0.0013375,              0.0013375
                     72,                0.58084,                0.33662,                 1.1512,                0.99177,                0.99665,                0.99443,                0.91374,                 0.5014,                0.23044,                 1.0962,              0.0012138,              0.0012138,              0.0012138
                     73,                0.58149,                0.33807,                  1.151,                0.99192,                0.99669,                0.99389,                 0.9123,                0.50045,                0.23043,                 1.0954,                0.00109,                0.00109,                0.00109
                     74,                 0.5653,                0.32803,                 1.1377,                0.99203,                0.99671,                0.99388,                0.91303,                0.49987,                 0.2302,                 1.0948,             0.00096625,             0.00096625,             0.00096625
                     75,                0.56577,                0.32608,                 1.1402,                0.99212,                 0.9968,                0.99386,                0.91297,                0.49901,                0.23035,                 1.0941,              0.0008425,              0.0008425,              0.0008425
                     76,                 0.5591,                0.32209,                 1.1329,                0.99217,                0.99699,                0.99385,                 0.9135,                0.49847,                0.23046,                 1.0937,             0.00071875,             0.00071875,             0.00071875
                     77,                 0.5546,                0.32296,                 1.1314,                0.99221,                0.99699,                0.99385,                0.91341,                0.49812,                0.23103,                 1.0932,               0.000595,               0.000595,               0.000595
                     78,                 0.5583,                0.32239,                 1.1346,                 0.9924,                0.99705,                0.99387,                0.91342,                0.49775,                0.23146,                 1.0925,             0.00047125,             0.00047125,             0.00047125
                     79,                0.55285,                0.31898,                 1.1288,                0.99256,                0.99708,                0.99386,                0.91328,                0.49738,                0.23118,                 1.0921,              0.0003475,              0.0003475,              0.0003475
