                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.57569,                 0.3307,                  1.166,                0.99269,                0.99598,                0.99378,                0.91471,                0.48651,                0.22337,                 1.1223,                0.00307,                0.00307,                0.00307
                     58,                0.56692,                0.32208,                  1.157,                0.99355,                0.99492,                0.99366,                0.91547,                0.48475,                0.22348,                 1.1206,              0.0029462,              0.0029462,              0.0029462
                     59,                 0.5643,                0.32373,                 1.1562,                0.99324,                0.99539,                0.99422,                0.91517,                0.48411,                 0.2223,                 1.1188,              0.0028225,              0.0028225,              0.0028225
                     60,                0.56367,                0.31859,                 1.1537,                0.99161,                0.99674,                0.99367,                0.91636,                0.48209,                 0.2202,                 1.1176,              0.0026987,              0.0026987,              0.0026987
                     61,                0.55825,                0.31589,                 1.1511,                0.99112,                0.99673,                0.99368,                0.91698,                0.48014,                0.22044,                 1.1147,               0.002575,               0.002575,               0.002575
                     62,                0.55483,                0.31342,                 1.1474,                0.99125,                0.99669,                0.99363,                0.91681,                0.47959,                0.22132,                 1.1134,              0.0024513,              0.0024513,              0.0024513
                     63,                0.54551,                0.30812,                 1.1359,                0.99068,                0.99575,                0.99367,                0.91692,                0.47731,                0.22027,                  1.112,              0.0023275,              0.0023275,              0.0023275
                     64,                0.54524,                0.30946,                 1.1398,                0.99125,                0.99624,                0.99369,                0.91676,                0.47612,                0.21909,                 1.1106,              0.0022038,              0.0022038,              0.0022038
                     65,                 0.5362,                 0.3046,                  1.132,                0.99214,                0.99601,                0.99353,                  0.917,                0.47469,                0.21729,                 1.1093,                0.00208,                0.00208,                0.00208
                     66,                0.53121,                0.30261,                 1.1288,                0.99179,                0.99603,                 0.9935,                0.91712,                0.47221,                0.21628,                 1.1075,              0.0019563,              0.0019563,              0.0019563
                     67,                0.53383,                0.29964,                 1.1297,                0.99256,                0.99584,                0.99359,                0.91628,                0.47035,                 0.2154,                 1.1054,              0.0018325,              0.0018325,              0.0018325
                     68,                0.52816,                0.29536,                 1.1259,                0.99291,                0.99583,                 0.9936,                0.91733,                0.46837,                0.21476,                 1.1042,              0.0017087,              0.0017087,              0.0017087
                     69,                0.52278,                0.29411,                 1.1217,                0.99336,                0.99574,                0.99363,                0.91845,                0.46666,                0.21349,                 1.1028,               0.001585,               0.001585,               0.001585
                     70,                0.51831,                0.29435,                 1.1198,                0.99307,                0.99571,                0.99361,                0.91924,                0.46549,                0.21294,                 1.1024,              0.0014612,              0.0014612,              0.0014612
                     71,                0.51098,                 0.2882,                 1.1093,                0.99292,                0.99568,                0.99361,                0.91955,                0.46469,                0.21197,                 1.1015,              0.0013375,              0.0013375,              0.0013375
                     72,                0.50855,                0.28758,                 1.1118,                0.99277,                0.99564,                0.99363,                0.91861,                0.46457,                0.21121,                  1.101,              0.0012138,              0.0012138,              0.0012138
                     73,                0.51275,                0.29119,                 1.1124,                0.99305,                0.99556,                0.99361,                0.91873,                0.46357,                0.21139,                 1.0998,                0.00109,                0.00109,                0.00109
                     74,                0.49695,                0.28273,                 1.1011,                0.99221,                 0.9956,                0.99366,                0.91958,                0.46282,                0.21088,                 1.0992,             0.00096625,             0.00096625,             0.00096625
                     75,                0.49432,                0.27897,                 1.1005,                0.99239,                0.99559,                0.99361,                0.91977,                0.46184,                0.21144,                 1.0986,              0.0008425,              0.0008425,              0.0008425
                     76,                0.48833,                0.27544,                  1.095,                0.99181,                0.99559,                 0.9936,                0.92033,                0.46119,                0.21156,                 1.0978,             0.00071875,             0.00071875,             0.00071875
                     77,                0.48477,                 0.2762,                 1.0912,                0.99152,                 0.9956,                0.99363,                0.92042,                0.46029,                0.21149,                 1.0972,               0.000595,               0.000595,               0.000595
                     78,                0.48674,                0.27387,                 1.0946,                0.99133,                 0.9956,                0.99361,                0.92169,                0.45961,                0.21093,                 1.0966,             0.00047125,             0.00047125,             0.00047125
                     79,                0.48161,                0.27155,                 1.0899,                0.99138,                 0.9956,                0.99362,                0.92223,                0.45897,                0.21088,                 1.0961,              0.0003475,              0.0003475,              0.0003475
